name,start_time,start_name,start_id,end_name,end_id,barcode_call
81ca8237-50f0-4782-a6f7-237a03ef378c,2018-07-17T17:26:41Z,BC03,81.481481,BC09,58.333333,none
3e8344a0-23c7-499d-a414-ec97d3363b98,2018-07-17T17:26:43Z,BC02,84.615385,BC01,65.625,none
2b0813e5-2de1-4fc5-bb6c-a252c3fc5f1a,2018-07-17T17:26:37Z,BC08,68.0,BC05,69.230769,none
1f9b7fb1-fdc4-4f39-9715-1c9973e27372,2018-07-17T17:26:52Z,BC04,95.833333,BC08,62.962963,none
8cc4e609-ef92-4d6f-94a8-a57cbcd4f1cd,2018-07-17T17:26:42Z,BC05,66.666667,BC11,60.606061,none
421beebf-1220-4b9b-abad-532d06b6522a,2018-07-17T17:26:43Z,BC02,91.666667,BC08,66.666667,none
496d25e7-e1a9-4880-b61d-69ae21ebaa2b,2018-07-17T17:26:30Z,BC04,62.962963,BC06,68.0,none
c3e6391c-a55e-4c36-b631-c6deb09700ff,2018-07-17T17:26:45Z,BC06,88.0,BC01,66.666667,none
109db40f-caf1-43e1-af41-e95e808bce59,2018-07-17T17:26:31Z,BC02,92.0,BC10,65.384615,none
e8fa2b50-9988-45b9-84a6-cc45502372e7,2018-07-17T17:26:34Z,BC05,72.0,BC08,74.074074,none
d079927e-740e-4128-b74d-8efb91c0cf3e,2018-07-17T17:26:52Z,BC08,96.0,BC03,64.0,none
497e6505-2777-4feb-981f-2f955ff20ecb,2018-07-17T17:26:30Z,BC12,76.0,BC05,65.517241,none
e1314f57-d040-4bd1-b605-dcd999985955,2018-07-17T17:26:48Z,BC02,77.777778,BC06,66.666667,none
d2df4462-4833-444a-a7e4-6f40a301fcaf,2018-07-17T17:26:41Z,BC02,95.833333,BC12,70.833333,none
b0b27973-3ceb-43bb-b639-bd1f83c1f5b0,2018-07-17T17:26:46Z,BC08,92.0,BC11,65.384615,none
6122c10f-5282-44fe-b815-8966ee9fd84d,2018-07-17T17:26:37Z,BC02,95.833333,BC02,66.666667,none
a11e3eb7-e9be-4888-b48b-7a9e4cb312da,2018-07-17T17:26:35Z,BC02,91.666667,BC07,64.285714,none
441c2137-c75c-4303-90bb-33d350c6c0bf,2018-07-17T17:26:48Z,BC06,80.0,BC05,64.516129,none
5a26be44-a29b-4058-b92c-5f650f531021,2018-07-17T17:26:33Z,BC01,100.0,BC05,64.0,none
23041acc-b9f0-4559-95cc-7d4ec82b640c,2018-07-17T17:26:51Z,BC04,92.0,BC05,70.833333,none
ebc8fd8b-4c6c-4118-b67c-27d13d124b5b,2018-07-17T17:26:33Z,BC06,96.0,BC05,61.538462,none
5f034eed-344a-4d65-8868-aef92bd623af,2018-07-17T17:26:35Z,BC06,95.833333,BC12,61.290323,none
fafc6cc8-0fef-46fb-84c6-5e656921269f,2018-07-17T17:26:35Z,BC06,91.666667,BC11,69.230769,none
77a283bf-0200-42ea-89ad-89f575b81088,2018-07-17T17:26:35Z,BC12,83.333333,BC03,65.384615,none
7f9df360-4600-4288-b7ba-cff498aadb6a,2018-07-17T17:26:48Z,BC12,67.857143,BC05,67.857143,none
0d44d6e8-89e1-4760-8d07-0c8914fa1963,2018-07-17T17:26:40Z,BC02,95.833333,BC01,66.666667,none
f14cc1f0-cda5-4145-a443-5ef794ea9ad6,2018-07-17T17:26:27Z,BC02,84.615385,BC05,65.517241,none
095a0801-3e0b-4a75-8ad5-7efc7e89ea83,2018-07-17T17:26:13Z,BC06,66.666667,BC02,68.965517,none
95a2f082-8b9a-43b1-b716-5e20f50eaea2,2018-07-17T17:26:49Z,BC11,96.0,BC10,61.538462,none
c9c413ee-28c7-47e2-a7eb-194b14285f25,2018-07-17T17:26:39Z,BC09,87.5,BC11,67.741935,none
91e3e123-e826-4847-9eb6-07f35af1791a,2018-07-17T17:26:22Z,BC11,91.666667,BC05,68.0,none
82ba9855-4c45-4c3a-a344-5d9e0598a12d,2018-07-17T17:26:30Z,BC02,88.0,BC10,66.666667,none
ac4acbed-3b31-4f0d-8b67-f1180c4c5de9,2018-07-17T17:26:19Z,BC09,68.0,BC01,68.0,none
b712f7b9-bde4-4caf-94fa-feba13e2ddac,2018-07-17T17:26:35Z,BC04,85.185185,BC04,66.666667,none
060ea085-aaaa-438a-95c0-09a426fe4db9,2018-07-17T17:26:39Z,BC06,100.0,BC06,70.37037,none
9b2c111b-91fb-4be4-baa6-d998609af272,2018-07-17T17:26:29Z,BC11,91.666667,BC03,64.285714,none
146c1239-724f-4c1f-a689-fd821f0007d3,2018-07-17T17:26:31Z,BC12,68.0,BC05,61.538462,none
7cc59eb1-5b5a-4ce2-9989-110f646dbe44,2018-07-17T17:26:45Z,BC06,87.5,BC04,64.285714,none
4cdfcfe1-5c9e-440b-a5ae-f57df54b0860,2018-07-17T17:26:51Z,BC04,85.714286,BC05,70.833333,none
b1a803da-1b7a-423a-b95c-4791ffb2e131,2018-07-17T17:26:43Z,BC09,95.833333,BC09,76.923077,none
0343e6ea-1eae-46c6-a537-10cb57837ec8,2018-07-17T17:26:53Z,BC02,100.0,BC04,69.230769,none
a8fd1f62-2de1-4106-ba36-b7a3613e0f97,2018-07-17T17:26:52Z,BC05,80.0,BC08,64.285714,none
b8f7a2ea-7813-48dd-833e-35b3372585ad,2018-07-17T17:26:34Z,BC09,88.461538,BC12,67.857143,none
878bad58-74d9-44e1-bffd-ad2a2172b3c3,2018-07-17T17:26:49Z,BC05,68.0,BC03,68.0,none
6ce42cfd-1432-4482-ac31-7d229b7cdc3e,2018-07-17T17:26:50Z,BC04,88.0,BC05,62.962963,none
bf0593c9-5668-4bb6-be24-2c0a9c6bc7da,2018-07-17T17:26:48Z,BC04,96.0,BC09,64.0,none
9920c5a7-59b0-4970-8aa0-6ff57b943450,2018-07-17T17:26:43Z,BC04,80.0,BC05,59.259259,none
6b333fcd-60d0-4df9-8e4c-b2efe5d283a1,2018-07-17T17:26:47Z,BC02,78.571429,BC02,68.75,none
388cfedb-7268-4dba-a327-201cbd4b1761,2018-07-17T17:26:32Z,BC09,84.0,BC12,62.068966,none
bc1f7834-b803-42e7-bdc1-1d1483cda36a,2018-07-17T17:26:54Z,BC11,82.142857,BC09,60.714286,none
94c88479-fa77-42d0-b5ed-ab377b726ac9,2018-07-17T17:26:47Z,BC02,96.0,BC05,68.0,none
064a544a-8f53-44da-b430-eeab5312626d,2018-07-17T17:26:35Z,BC01,70.37037,BC07,66.666667,none
78c69447-ea49-4b32-bc80-c87e9b522d56,2018-07-17T17:26:29Z,BC02,95.833333,BC01,65.384615,none
183e6396-72a1-4355-a530-af625a8f4215,2018-07-17T17:26:39Z,BC09,100.0,BC01,62.068966,none
9aaad998-32fa-4fd0-8307-e0d0d0e7a30e,2018-07-17T17:26:37Z,BC06,91.666667,BC09,67.857143,none
4715db83-a205-46dc-b53f-cd98f96a76de,2018-07-17T17:26:36Z,BC09,81.481481,BC04,66.666667,none
7e92782c-5f9a-41f9-a36d-4d82c6a24a1e,2018-07-17T17:26:40Z,BC09,92.307692,BC03,66.666667,none
ed04b161-99eb-463e-a3ac-0c934b81ee40,2018-07-17T17:26:51Z,BC04,92.0,BC01,67.857143,none
26c79c39-f8e5-49b1-a600-e8d23b5d721c,2018-07-17T17:26:47Z,BC05,100.0,BC01,67.857143,none
e1466203-5ce0-4a12-bd66-84c200e930a7,2018-07-17T17:26:51Z,BC12,84.615385,BC05,71.428571,none
6a15e9e6-3f62-44b8-a76e-9b42f02cb643,2018-07-17T17:26:47Z,BC06,65.384615,BC03,65.384615,none
d95ff2fe-586b-4863-be64-08e1931446c0,2018-07-17T17:26:29Z,BC03,79.166667,BC12,66.666667,none
b74d0204-1108-4de8-b5a9-0f281116e3bf,2018-07-17T17:26:46Z,BC04,88.0,BC09,66.666667,none
77d7642c-5a78-4595-a338-d03795aa6b52,2018-07-17T17:26:23Z,BC08,91.666667,BC05,70.833333,none
b2cc3ea3-f114-480c-a7f7-cecafe467fa1,2018-07-17T17:26:31Z,BC04,87.5,BC02,73.076923,none
df59ee24-73a4-48e6-a83f-2c95cfd5fd1a,2018-07-17T17:26:39Z,BC12,75.0,BC10,70.833333,none
d53da2dc-6c7f-484f-b3bc-3d4684462b62,2018-07-17T17:26:46Z,BC08,84.0,BC06,64.516129,none
329a54d1-8664-4ea5-8f89-68518cc4ab79,2018-07-17T17:25:45Z,BC07,84.0,BC04,66.666667,none
adbe13a3-94f2-47d2-906d-186e08604a5e,2018-07-17T17:25:47Z,BC10,41.666667,BC02,29.62963,none
4a365db5-59a4-430c-9170-74d59d0bfb27,2018-07-17T17:25:44Z,BC06,100.0,BC03,65.384615,none
e0c3af98-cd27-45fa-a001-fb85026baca2,2018-07-17T17:25:45Z,BC02,87.5,BC06,68.0,none
7952190e-639e-4a8b-a2f3-ba658c86e28f,2018-07-17T17:25:46Z,BC02,65.384615,BC08,66.666667,none
